Date,Open,High,Low,Close,Adj Close,Volume
6/23/2022,136.820007,138.589996,135.630005,138.270004,137.449265,72433800
6/24/2022,139.899994,141.910004,139.770004,141.660004,140.819138,89116800
6/27/2022,142.699997,143.490005,140.970001,141.660004,140.819138,70207900
6/28/2022,142.130005,143.419998,137.320007,137.440002,136.624191,67083400
6/29/2022,137.460007,140.669998,136.669998,139.229996,138.403564,66242400
6/30/2022,137.25,138.369995,133.770004,136.720001,135.908463,98964500
7/1/2022,136.039993,139.039993,135.660004,138.929993,138.105331,71051600
7/5/2022,137.770004,141.610001,136.929993,141.559998,140.719727,73353800
7/6/2022,141.350006,144.119995,141.080002,142.919998,142.071671,74064300
7/7/2022,143.289993,146.550003,143.279999,146.350006,145.481293,66253700
7/8/2022,145.259995,147.550003,145,147.039993,146.167191,64547800
7/11/2022,145.669998,146.639999,143.779999,144.869995,144.010071,63141600
7/12/2022,145.759995,148.449997,145.050003,145.860001,144.994202,77588800
7/13/2022,142.990005,146.449997,142.119995,145.490005,144.626404,71185600
7/14/2022,144.080002,148.949997,143.25,148.470001,147.588715,78140700
7/15/2022,149.779999,150.860001,148.199997,150.169998,149.27861,76259900
7/18/2022,150.740005,151.570007,146.699997,147.070007,146.197021,81420900
7/19/2022,147.919998,151.229996,146.910004,151,150.103699,82982400
7/20/2022,151.119995,153.720001,150.369995,153.039993,152.131577,64823400
7/21/2022,154.5,155.570007,151.940002,155.350006,154.427887,65086600
7/22/2022,155.389999,156.279999,153.410004,154.089996,153.175354,66675400
7/25/2022,154.009995,155.039993,152.279999,152.949997,152.042114,53623900
7/26/2022,152.259995,153.089996,150.800003,151.600006,150.700134,55138700
7/27/2022,152.580002,157.330002,152.160004,156.789993,155.859329,78620700
7/28/2022,156.979996,157.639999,154.410004,157.350006,156.416,81378700
7/29/2022,161.240005,163.630005,159.5,162.509995,161.54538,101786900
8/1/2022,161.009995,163.589996,160.889999,161.509995,160.551315,67829400
8/2/2022,160.100006,162.410004,159.630005,160.009995,159.060196,59907000
8/3/2022,160.839996,166.589996,160.75,166.130005,165.143906,82507500
8/4/2022,166.009995,167.190002,164.429993,165.809998,164.825775,55474100
8/5/2022,163.210007,165.850006,163,165.350006,164.596848,56697000
8/8/2022,166.369995,167.809998,164.199997,164.869995,164.119019,60276900
8/9/2022,164.020004,165.820007,163.25,164.919998,164.168793,63135500
8/10/2022,167.679993,169.339996,166.899994,169.240005,168.469131,70170500
8/11/2022,170.059998,170.990005,168.190002,168.490005,167.722534,57149200
8/12/2022,169.820007,172.169998,169.399994,172.100006,171.316086,68039400
8/15/2022,171.520004,173.389999,171.350006,173.190002,172.401123,54091700
8/16/2022,172.779999,173.710007,171.660004,173.029999,172.241867,56377100
8/17/2022,172.770004,176.149994,172.570007,174.550003,173.754929,79542000
8/18/2022,173.75,174.899994,173.119995,174.149994,173.356735,62290100
8/19/2022,173.029999,173.740005,171.309998,171.520004,170.738724,70346300
8/22/2022,169.690002,169.860001,167.139999,167.570007,166.806717,69026800
8/23/2022,167.080002,168.710007,166.649994,167.229996,166.468262,54147100
8/24/2022,167.320007,168.110001,166.25,167.529999,166.766907,53841500
8/25/2022,168.779999,170.139999,168.350006,170.029999,169.255508,51218200
8/26/2022,170.570007,171.050003,163.559998,163.619995,162.874725,78961000
8/29/2022,161.149994,162.899994,159.820007,161.380005,160.644913,73314000
8/30/2022,162.130005,162.559998,157.720001,158.910004,158.186172,77906200
8/31/2022,160.309998,160.580002,157.139999,157.220001,156.50386,87991100
9/1/2022,156.639999,158.419998,154.669998,157.960007,157.240494,74229900
9/2/2022,159.75,160.360001,154.970001,155.809998,155.100281,76957800
9/6/2022,156.470001,157.089996,153.690002,154.529999,153.826126,73714800
9/7/2022,154.820007,156.669998,153.610001,155.960007,155.249619,87449600
9/8/2022,154.639999,156.360001,152.679993,154.460007,153.756439,84923800
9/9/2022,155.470001,157.820007,154.75,157.369995,156.653183,68028800
9/12/2022,159.589996,164.259995,159.300003,163.429993,162.685577,104956000
9/13/2022,159.899994,160.539993,153.369995,153.839996,153.139252,122656600
9/14/2022,154.789993,157.100006,153.610001,155.309998,154.602554,87965400
9/15/2022,154.649994,155.240005,151.380005,152.369995,151.675964,90481100
9/16/2022,151.210007,151.350006,148.369995,150.699997,150.013565,162278800
9/19/2022,149.309998,154.559998,149.100006,154.479996,153.776337,81474200
9/20/2022,153.399994,158.080002,153.080002,156.899994,156.185318,107689800
9/21/2022,157.339996,158.740005,153.600006,153.720001,153.019806,101696800
9/22/2022,152.380005,154.470001,150.910004,152.740005,152.044281,86652500
9/23/2022,151.190002,151.470001,148.559998,150.429993,149.744797,96029900
9/26/2022,149.660004,153.770004,149.639999,150.770004,150.083252,93339400
9/27/2022,152.740005,154.720001,149.949997,151.759995,151.068741,84442700
9/28/2022,147.639999,150.639999,144.839996,149.839996,149.157471,146691400
9/29/2022,146.100006,146.720001,140.679993,142.479996,141.830994,128138200
9/30/2022,141.279999,143.100006,138,138.199997,137.57048,124925300
10/3/2022,138.210007,143.070007,137.690002,142.449997,141.801147,114311700
10/4/2022,145.029999,146.220001,144.259995,146.100006,145.434525,87830100
10/5/2022,144.070007,147.380005,143.009995,146.399994,145.733139,79471000
10/6/2022,145.809998,147.539993,145.220001,145.429993,144.767563,68402200
10/7/2022,142.539993,143.100006,139.449997,140.089996,139.451889,85925600
10/10/2022,140.419998,141.889999,138.570007,140.419998,139.780396,74899000
10/11/2022,139.899994,141.350006,138.220001,138.979996,138.346939,77033700
10/12/2022,139.130005,140.360001,138.160004,138.339996,137.709854,70433700
10/13/2022,134.990005,143.589996,134.369995,142.990005,142.338684,113224000
10/14/2022,144.309998,144.520004,138.190002,138.380005,137.74968,88598000
10/17/2022,141.070007,142.899994,140.270004,142.410004,141.761337,85250900
10/18/2022,145.490005,146.699997,140.610001,143.75,143.09523,99136600
10/19/2022,141.690002,144.949997,141.5,143.860001,143.204727,61758300
10/20/2022,143.020004,145.889999,142.649994,143.389999,142.736862,64522000
10/21/2022,142.869995,147.850006,142.649994,147.270004,146.599182,86548600
10/24/2022,147.190002,150.229996,146,149.449997,148.769241,75981900
10/25/2022,150.089996,152.490005,149.360001,152.339996,151.646088,74732300
10/26/2022,150.960007,151.990005,148.039993,149.350006,148.669708,88194300
10/27/2022,148.070007,149.050003,144.130005,144.800003,144.140442,109180200
10/28/2022,148.199997,157.5,147.820007,155.740005,155.030624,164762400
10/31/2022,153.160004,154.240005,151.919998,153.339996,152.641541,97943200
11/1/2022,155.080002,155.449997,149.130005,150.649994,149.963791,80379300
11/2/2022,148.949997,152.169998,145,145.029999,144.369385,93604600
11/3/2022,142.059998,142.800003,138.75,138.880005,138.247406,97918500
11/4/2022,142.089996,142.669998,134.380005,138.380005,137.97818,140814800
11/7/2022,137.110001,139.149994,135.669998,138.919998,138.516617,83374600
11/8/2022,140.410004,141.429993,137.490005,139.5,139.09494,89908500
11/9/2022,138.5,138.550003,134.589996,134.869995,134.478378,74917800
11/10/2022,141.240005,146.869995,139.5,146.869995,146.443527,118854000
11/11/2022,145.820007,150.009995,144.369995,149.699997,149.265305,93979700
11/14/2022,148.970001,150.279999,147.429993,148.279999,147.849442,73374100
11/15/2022,152.220001,153.589996,148.559998,150.039993,149.604324,89868300
11/16/2022,149.130005,149.869995,147.289993,148.789993,148.357956,64218300
11/17/2022,146.429993,151.479996,146.149994,150.720001,150.282364,80389400
11/18/2022,152.309998,152.699997,149.970001,151.289993,150.850708,74829600
11/21/2022,150.160004,150.369995,147.720001,148.009995,147.580215,58724100
11/22/2022,148.130005,150.419998,146.929993,150.179993,149.743912,51804100
11/23/2022,149.449997,151.830002,149.339996,151.070007,150.631348,58301400
11/25/2022,148.309998,148.880005,147.119995,148.110001,147.679932,35195900
11/28/2022,145.139999,146.639999,143.380005,144.220001,143.801239,69246000
11/29/2022,144.289993,144.809998,140.350006,141.169998,140.760086,83763800
11/30/2022,141.399994,148.720001,140.550003,148.029999,147.600159,111380900
